CMPLNT_NUM,MUNIMETER_ID,DIST_MUNI
156648304,4163107,658.2833554
156807075,2123009,383.9732752
156930241,5053318,3034.086743
157208674,3043222,10.1169123
157374249,1023060,77.80598645
157506663,3503021,58.63988835
157552997,1433826,14.65854236
157565422,1409943,10.78428206
157956718,1393023,62.82394439
158280680,1083021,17.88182528
158327012,4323108,421.0307273
158631753,1264947,16.0043857
158954918,3033005,590.3102299
159056281,1243125,126.7363912
159115682,2053016,474.6295297
159314126,1218209,20.80598865
159392330,1013015,21.80461741
159541389,1083033,20.08287252
159590427,1443227,88.37450116
159846105,1058288,28.14884198
159941028,4253104,1446.463841
160303165,1483037,55.09494623
160387462,3423001,15.71800079
160580568,3333026,83.30505528
160742222,1443227,88.37450116
160790265,1433074,21.70473552
160904708,3403061,123.1795276
161158350,1443527,16.50425784
161249230,4033048,128.2451449
161258798,3013673,125.7439196
161260681,2203003,520.6570121
161414258,2083026,14.602211
161491114,4493108,125.5405691
161598013,2093008,14.71958122
161634689,1133056,15.30980281
161757322,3193046,283.900107
162070432,4393006,85.47669031
162135078,1033103,406.6919733
162261621,3013651,83.91368563
162297114,2213001,14.46512072
162367534,4413043,40.01948227
162792660,5033018,84.91456214
162985651,3413078,107.1700212
163002117,1033046,13.51076506
163084654,3149798,11.31557518
163176874,3123027,7.531967839
163241848,1263075,491.5086455
163457984,1433718,9.854949259
163572015,1208045,65.87543115
163574017,1253014,19.62568166
163656310,2073086,302.896165
163867636,4451782,9.266246826
163922913,3413055,37.49320778
163997322,1283029,7.777977144
164115062,1133040,79.32799171
164239343,2373009,636.774406
164385282,2073086,246.5470518
164454830,1023104,6.725080443
164580871,4053023,146.8903986
164669263,3043111,21.42212568
164770678,1143001,7.274979465
164826724,1433388,8.467384332
165019891,1109649,46.66370466
165191203,3123159,87.91417055
165385019,3631605,52.77501611
165571541,4173121,12.53549413
165642907,3403145,267.917381
165727221,3433006,230.0727268
165771440,2262721,291.636987
165865932,2053021,193.6062466
165867847,2162894,463.3252307
165882692,3193106,300.6794038
165885502,3033041,1418.223107
166441700,4181672,682.3434524
166572782,3383102,424.412699
166673249,3283077,363.1572572
166960729,3403131,207.8384953
167097055,2013162,17.31511704
167248911,2293056,357.887172
167531452,1253014,19.62568166
168003231,1453226,66.49281163
168279710,1443227,88.37450116
168334329,4193028,10.13757687
168376827,2162844,64.54903714
168460893,2033011,112.2017424
168625487,4253103,1188.433225
168786638,5053353,634.500995
168936321,3033042,61.9046301
168987711,3583022,59.4497146
169217833,1403146,11.55240347
169344921,3593021,181.1977285
169346029,1208036,12.31148235
169513181,3583001,477.6210032
169571623,3393022,539.6424006
169653835,1443227,88.37450116
169662512,3123022,120.0593227
169671226,3013687,247.7432466
169795081,1369636,404.7931469
170009568,3303045,585.5918267
170517511,2262746,171.6550862
170521952,2263001,95.70747689
170538969,1433890,84.38229958
170710541,3583010,6.43933511
170758170,2243143,19.9341474
170963112,2053005,621.421376
170976522,3193044,886.053829
171100298,1473001,75.03907893
171212402,3179771,116.9724223
171327568,1109648,9.648408262
171361845,1218201,13.16525848
171536655,1503041,8.028953657
171806434,1058360,140.8779724
171933277,3213003,87.86356947
172208976,1433785,19.06907582
172221879,3223012,447.5777652
172262104,3353014,127.8788142
172373433,3029748,21.21658344
172543694,2043022,7.364183654
172717280,3393010,5.817288354
172727458,1013015,21.80461741
172831906,3123080,159.5844034
172939795,3093008,11.08606016
173450495,2373006,82.72570781
173481069,4152691,45.92347614
173633234,3193062,11.8008893
173697654,3343006,23.84748531
173837403,3249883,215.4254163
173838233,1433865,61.17428979
173849610,3533008,546.0007849
173909494,2043001,32.16361107
174286680,3623030,32.08950478
174286680,4293151,32.08950478
