CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,OFNS_DESC,PD_DESC,PRECINCT_ID,NUM_LRCNY,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,LATITUDE_CRIME,LONGITUDE_CRIME,DIST_ENTR,SBWY_ENTR_ID,LAT_SBWY,LONG_SBWY,SBWY_LINE,DIST_SHLTR,BUS_SHLTR_ID,LAT_BUS,LONG_BUS,WIFI_ID,DIST_WIFI,LAT_WIFI,LONG_WIFI,MUNIMETER_ID,DIST_MUNI,LIBRARY,DIST_LIB
465107060,4/16/2017,15:00:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,CHAIN STORE,40.72363697,-73.9982986,74.96469527,1873,40.72426,-73.997957,N-R,274.1683963,MN0025,40.706812,-73.947831,2249,91.90379368,40.745968,-73.994039,1473040,12.52724684,Mulberry Street,227.8151911
476448789,4/29/2017,12:00:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,FOOD SUPERMARKET,40.71525943,-74.0112309,151.6173599,278,40.715444,-74.009453,1/2/2003,252.3944185,MN0019,40.706812,-73.947831,2268,167.7911111,40.745968,-73.994039,1113044,115.1480138,New Amsterdam,339.9976161
486000896,4/29/2017,19:30:00,PETIT LARCENY,"LARCENY,PETIT OF BICYCLE",1,157,FRONT OF,STREET,40.71169972,-74.00834824,112.10826,782,40.710692,-74.008428,A-C-J-Z-2-3-4-5,141.8130914,MN0018,40.706812,-73.947831,2270,155.0686449,40.745968,-73.994039,1113045,61.53374067,New Amsterdam,212.3459477
497810804,4/30/2017,13:00:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,COMMERCIAL BUILDING,40.71525943,-74.0112309,151.6173599,278,40.715444,-74.009453,1/2/2003,252.3944185,MN0019,40.706812,-73.947831,2268,167.7911111,40.745968,-73.994039,1113044,115.1480138,New Amsterdam,339.9976161
523350744,4/3/2017,7:36:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,CHAIN STORE,40.70382454,-74.01315133,23.93837938,1887,40.704015,-74.013284,R-1,203.4931359,MN0003,40.706812,-73.947831,2350,82.97471898,40.745968,-73.994039,1483068,41.28976306,New Amsterdam,1171.35804
526596303,4/6/2017,20:30:00,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",1,157,INSIDE,BAR/NIGHT CLUB,40.71743336,-74.01034385,207.1124378,1630,40.715736,-74.009328,1/2/2003,180.347818,MN01344,40.706812,-73.947831,2268,235.465158,40.745968,-73.994039,1113027,44.29176455,New Amsterdam,476.5787999
528106967,4/2/2017,15:05:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,DEPARTMENT STORE,40.71009385,-74.01060963,54.05946938,1880,40.710435,-74.011066,R,269.6365953,MN01276,40.706812,-73.947831,2201,74.89400614,40.745968,-73.994039,1483037,128.1165718,New Amsterdam,450.8026878
536170409,4/16/2017,18:00:00,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",1,157,INSIDE,RESTAURANT/DINER,40.72219868,-74.003371,151.0739231,772,40.721967,-74.005133,A-C-E,149.6426198,MN01166,40.706812,-73.947831,2262,218.9666784,40.745968,-73.994039,1323036,5.358783705,Mulberry Street,684.2521254
549522620,4/29/2017,12:00:00,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",1,157,INSIDE,FOOD SUPERMARKET,40.71525943,-74.0112309,151.6173599,278,40.715444,-74.009453,1/2/2003,252.3944185,MN0019,40.706812,-73.947831,2268,167.7911111,40.745968,-73.994039,1113044,115.1480138,New Amsterdam,339.9976161
556867664,4/20/2017,12:38:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,DEPARTMENT STORE,40.71280318,-74.0074466,28.82594937,1634,40.712712,-74.007766,A-C-E-1-2-3,139.3670319,MN0018,40.706812,-73.947831,2255,66.29591966,40.745968,-73.994039,1113045,108.8610611,New Amsterdam,93.04085389
