wkt_geom_BUS,CMPLNT_NUM,SHLTR_ID,DIST_BUS
"MultiPoint ((-73.91425316000000123 40.81874051999999864),(-73.91420199999998886 40.81864200000006804))",105609170,BX03090,11.76127466
"MultiPoint ((-73.92251099999998587 40.66880300000002535),(-73.92235870000000375 40.6685342700000021))",105659026,BR02731,32.50183165
"MultiPoint ((-73.96019024000000286 40.65700628999999822),(-73.96006599999998343 40.65549300000003541))",105793279,BR9001,168.3748779
"MultiPoint ((-73.96001199999994924 40.71371500000003607),(-73.95871388000000479 40.71891957999999789))",105879583,BR02048,588.276251
"MultiPoint ((-73.93936699999994744 40.84267100000005257),(-73.93921788999999478 40.84283849999999916))",105931557,MN01221,22.45290064
"MultiPoint ((-73.91434800999999766 40.76469405999999651),(-73.91397899999998344 40.76527700000002596))",105977182,QN04547,71.84273085
"MultiPoint ((-73.9151790500000061 40.84064129000000065),(-73.9123539999999366 40.84111800000005132))",106019688,BX03045,244.0672955
"MultiPoint ((-73.91425316000000123 40.81874051999999864),(-73.91420199999998886 40.81864200000006804))",106134411,BX03090,11.76127466
"MultiPoint ((-73.91257999999993444 40.71323100000006434),(-73.91173557000000471 40.70933313999999825))",106161765,QN04960,438.6928867
"MultiPoint ((-73.86295314000000189 40.74885110999999682),(-73.86211099999997032 40.74438400000002503))",106215785,QN04307,501.1409746
"MultiPoint ((-74.01003699999995433 40.64525700000007191),(-74.0078244900000044 40.64406576999999743))",106325377,BR02407,229.1775018
"MultiPoint ((-73.84690723999999307 40.68124653999999651),(-73.84483799999998155 40.68044500000007702))",106421119,QN04932,196.2757668
"MultiPoint ((-73.99866747999999461 40.67896865000000162),(-73.99787699999995993 40.67846000000002959))",106909331,BR02465,87.50208486
"MultiPoint ((-73.92387299999995776 40.68914900000004309),(-73.92168907999999306 40.68928980999999823))",106945625,BR02415,185.2659147
"MultiPoint ((-73.99475649999999405 40.76062239000000176),(-73.99475499999994099 40.76042900000004465))",107093211,MN01141,21.47619412
"MultiPoint ((-73.89227366999999447 40.82015207999999973),(-73.89204899999998588 40.82053900000005342))",107315074,BX03420,46.96240408
"MultiPoint ((-73.92118899999996984 40.60932200000007697),(-73.92098527999999646 40.61071712999999761))",107508544,BR02814,155.8804888
"MultiPoint ((-73.97839973000000668 40.78615478999999766),(-73.97817099999997481 40.78597300000006953))",107551123,MN0372,27.93347775
"MultiPoint ((-73.95214899999996305 40.69135800000003655),(-73.95197616000000096 40.6924354699999995))",107588663,BR02406,120.5394524
"MultiPoint ((-73.98561795000000529 40.75461336000000045),(-73.98314199999998664 40.7559540000000311))",107652867,MN0220,256.6711616
"MultiPoint ((-73.87672655000000077 40.82628741999999988),(-73.87459699999993745 40.82913400000006732))",107897593,BX03580,363.5894866
"MultiPoint ((-73.91674854999999411 40.82252456999999879),(-73.91422699999998258 40.82372200000003204))",107939270,BX03591,250.8605355
"MultiPoint ((-73.94232299999998759 40.7008670000000734),(-73.94223578999999802 40.70127189000000101))",108047294,BR0157,45.56238042
"MultiPoint ((-73.86620349000000374 40.82145596000000154),(-73.8660399999999413 40.82113600000008091))",108426617,BX03046,38.1147054
"MultiPoint ((-73.94077999999996109 40.59394700000007106),(-73.94048972000000219 40.59275319999999709))",108600116,BR02020,134.824875
"MultiPoint ((-73.99125199999997449 40.73944600000004357),(-73.99035569999999495 40.73943264999999769))",108938424,MN0697,75.72106791
"MultiPoint ((-73.99228599999997869 40.74891400000007025),(-73.99133946000000606 40.75002196999999882))",108973247,MN0229,146.7266309
"MultiPoint ((-74.00923999999997704 40.61112000000002809),(-74.00841124999999465 40.61074947000000179))",108995794,BR03055,81.31404389
"MultiPoint ((-73.94688582000000565 40.80837413999999796),(-73.94581599999997934 40.80803200000002562))",109082937,MN0307,97.94006373
"MultiPoint ((-73.95239699999996219 40.77232600000007778),(-73.95206016999999576 40.77119076999999692))",109122047,MN0071,129.234165
"MultiPoint ((-73.82479499999993777 40.87941200000005892),(-73.82408320999999773 40.87864856000000202))",109325918,BX03264,103.8622484
"MultiPoint ((-73.98704699999996137 40.6913960000000543),(-73.98627328999999975 40.69220313000000289))",109360223,BR02961,110.9528125
"MultiPoint ((-73.94734299999998939 40.82522300000005089),(-73.94475961000000552 40.82403999999999655))",109564439,MN01722,254.4639106
"MultiPoint ((-73.99790276999999605 40.69123228000000125),(-73.99752599999993663 40.69101200000005747))",109877906,BR0250,40.15733881
"MultiPoint ((-73.73404245999999773 40.75894313999999952),(-73.7324729999999704 40.76080800000005411))",110063365,QN04797,245.8651328
"MultiPoint ((-73.92602282999999375 40.64749793000000011),(-73.92429599999996981 40.64673600000003262))",110103132,BR02536,168.7962693
"MultiPoint ((-74.01996307000000286 40.63946952999999951),(-74.01817899999997508 40.64059800000006817))",110111312,BR02001,196.1612644
"MultiPoint ((-74.00511899999997922 40.72241600000006656),(-74.00468069999999443 40.72390862000000311))",110172415,MN01166,169.83934
"MultiPoint ((-73.93796733000000643 40.79251064999999699),(-73.93728199999998196 40.79321200000003955))",110241433,MN01098,97.01326653
"MultiPoint ((-73.98584805999999503 40.69086638000000278),(-73.98574299999995674 40.69076000000006843))",110690406,BR02957,14.77888398
"MultiPoint ((-73.98232099999995626 40.75172300000002679),(-73.98147529000000588 40.7512504600000014))",110693778,MN01500,88.6258177
"MultiPoint ((-73.99829859999999826 40.72363697000000116),(-73.99782999999996491 40.72608000000002448))",110769947,MN0025,274.1683963
"MultiPoint ((-73.92144499999994878 40.67894300000006069),(-73.92034938999999838 40.67880660000000148))",110781996,BR02786,93.85558804
