wkt_geom_LIB,CMPLNT_NUM,LIBRARY,DIST_LIB
"MultiPoint ((-73.82931594567217815 40.87075330808789175),(-73.82158284999999864 40.86846737999999846))",119208937,Baychester,699.5884073
"MultiPoint ((-73.94094393837610824 40.81464862404033056),(-73.93645132000000331 40.81436607999999922))",119284637,Schomburg Center for Research in Black Culture,380.3414078
"MultiPoint ((-74.03136940540869659 40.61637311059178046),(-74.02796094999999355 40.61946933000000115))",119583034,Fort Hamilton,448.7779943
"MultiPoint ((-73.86288995608042285 40.81870935224862507),(-73.85910013999999535 40.82492231999999888))",119967447,Soundview,760.4289208
"MultiPoint ((-73.95299760999999705 40.66552063000000317),(-73.9481022990788972 40.66118930773444617))",120031704,Crown Heights,634.5893338
"MultiPoint ((-73.95134169404904867 40.77065254346264567),(-73.94729662000000303 40.77771568000000002))",120112430,Webster,855.4731877
"MultiPoint ((-73.90931635032427494 40.85742189422779092),(-73.90558939999999666 40.85443148000000235))",120693955,Francis Martin,457.2042546
"MultiPoint ((-73.83401936999999293 40.75737941999999947),(-73.82888468513289126 40.75777406826377813))",121044581,Flushing,435.7958556
"MultiPoint ((-73.85195636000000263 40.72279798000000284),(-73.843014996810453 40.72214695316668553))",121111570,Forest Hills,758.8813407
"MultiPoint ((-73.98451216196562541 40.77423207861021837),(-73.98208877000000427 40.77841252000000338))",121395537,Riverside,507.3149051
"MultiPoint ((-73.99568416859453635 40.72413926605543111),(-73.99333452999999849 40.72197896000000128))",121577155,Mulberry Street,311.3818303
"MultiPoint ((-74.0106096300000047 40.7100938499999998),(-74.0078692134009799 40.71357685109020963))",121876485,New Amsterdam,450.8026878
"MultiPoint ((-73.93484756332469487 40.80301816141574989),(-73.93229782000000228 40.79558155000000141))",121911549,125th Street,853.4074002
"MultiPoint ((-73.95824218248398552 40.65192508104459534),(-73.9572678800000034 40.65046716999999887))",121989794,Flatbush,181.6617222
"MultiPoint ((-73.99891698000000417 40.63366878000000071),(-73.98900318822344957 40.63888883871237567))",122134033,Borough Park,1019.500444
"MultiPoint ((-73.94763429707128921 40.63574014928097711),(-73.94599639999999852 40.63125715999999699))",122402201,Clarendon,516.7463887
"MultiPoint ((-73.97240578999999627 40.79362741999999997),(-73.96760677135273454 40.79587354648015207))",122655686,Bloomingdale,475.6622642
"MultiPoint ((-74.1150094900000056 40.5651833900000014),(-74.11195814748114685 40.57193184836513211))",122670660,New Dorp,792.6830916
"MultiPoint ((-73.93888459999999441 40.6115734400000008),(-73.93321325624171436 40.61976819625962065))",122737119,Flatlands,1028.79619
"MultiPoint ((-73.96477561597041017 40.80613025800837335),(-73.9613037099999957 40.80648602000000125))",122781926,Morningside Heights,295.6147824
"MultiPoint ((-73.97236458000000425 40.59708284999999961),(-73.97180844633280117 40.59054439000408365))",122984438,Gravesend,727.5948106
"MultiPoint ((-73.88625236999999402 40.74739979999999662),(-73.88506932468307298 40.75019608559315287))",122989147,Jackson Heights,326.2027591
"MultiPoint ((-73.98774284104662513 40.72890664078862955),(-73.98518670999999358 40.72988310000000212))",123012095,Ottendorfer,241.6343129
"MultiPoint ((-73.88597980000000121 40.74850291999999996),(-73.88506932468307298 40.75019608559315287))",123076746,Jackson Heights,203.1394799
"MultiPoint ((-73.99216459999999529 40.73088562000000223),(-73.98774284104662513 40.72890664078862955))",123330408,Ottendorfer,433.3912611
"MultiPoint ((-73.95705320654998616 40.8137689645726951),(-73.9508623100000051 40.81419471000000243))",123358638,George Bruce,524.4692507
"MultiPoint ((-73.85517808000000173 40.71115054999999927),(-73.85367250555948715 40.71115685830539377))",123400632,North Forest Park,127.2250898
"MultiPoint ((-73.94688582000000565 40.80837413999999796),(-73.94331559838256851 40.80616044207548043))",123653007,Harlem,388.8283094
"MultiPoint ((-73.87403487805720204 40.67270747286008969),(-73.86142558000000236 40.67988705999999866))",123662490,Cypress Hills,1331.214128
"MultiPoint ((-73.83164233461157266 40.70079720332697093),(-73.83016689999999471 40.69550686000000184))",123702152,Richmond Hill,600.5712832
"MultiPoint ((-73.88506932468307298 40.75019608559315287),(-73.87886358999999459 40.7460226299999988))",123795323,Jackson Heights,699.6269076
"MultiPoint ((-73.96835470000000612 40.6394614200000035),(-73.96596507806374632 40.64080354720504573))",123874857,Cortelyou,251.1445262
"MultiPoint ((-73.98928218000000356 40.75043077000000125),(-73.98300921762813687 40.74811515837409104))",124139708,"Science, Industry and Business Library (SIBL)",588.8823615
"MultiPoint ((-73.84601807353183744 40.78621310340784589),(-73.83651530999999579 40.78314790999999673))",124285545,Poppenhusen,871.3494468
"MultiPoint ((-73.91758393603561217 40.82658455897066574),(-73.91095017000000666 40.82474895000000004))",124370303,Melrose,595.5722955
"MultiPoint ((-73.81945312008846827 40.71003455781207947),(-73.81463073000000463 40.69701446999999916))",124579119,Briarwood,1502.196999
"MultiPoint ((-73.98616771999999742 40.74912118999999677),(-73.98300921762813687 40.74811515837409104))",124633583,"Science, Industry and Business Library (SIBL)",289.1984331
"MultiPoint ((-73.99159953999999573 40.63381120999999752),(-73.98900318822344957 40.63888883871237567))",124704088,Borough Park,605.1234093
"MultiPoint ((-73.98345365000000129 40.69105543999999952),(-73.97773263286963186 40.69448969834957097))",124839170,Walt Whitman,615.8555702
"MultiPoint ((-73.998291480000006 40.7196927500000001),(-73.99568416859453635 40.72413926605543111))",125040394,Mulberry Street,540.6881973
"MultiPoint ((-73.79410522000000583 40.73855183999999952),(-73.78228143761607782 40.74158266352508662))",125221110,Fresh Meadows,1053.882693
"MultiPoint ((-73.87838435032448103 40.87437981398937836),(-73.86737775999999656 40.87764149000000202))",125221891,Mosholu,995.9743542
"MultiPoint ((-73.96760677135273454 40.79587354648015207),(-73.96632352999999682 40.79451508999999731))",125623840,Bloomingdale,185.7051952
"MultiPoint ((-73.89450288645043941 40.86298060519320785),(-73.88800528000000156 40.86826002000000102))",125711223,Bronx Library Center,802.3719956
"MultiPoint ((-73.92098527999999646 40.61071712999999761),(-73.91702120710569091 40.61986842104018791))",125747814,Mill Basin,1070.152707
"MultiPoint ((-73.85981166000000542 40.71014621999999861),(-73.85367250555948715 40.71115685830539377))",125771123,North Forest Park,530.7720338
"MultiPoint ((-73.95637252319333754 40.77365564161394929),(-73.95286380000000293 40.7783576200000013))",126015738,Yorkville,600.3169171
"MultiPoint ((-73.84601807353183744 40.78621310340784589),(-73.83816889000000572 40.78919141000000081))",126140681,Poppenhusen,740.4759276
